LOAI        10.0 BTT  
H9FU        10.0 C    
7JAA        11.4 C    
JPTX         9.9 C    
C6VU8        5.0 C    
3EKG6        8.3 C    
ELUW8        9.5 C    
3ETT6        7.0 C    
3FAX7        8.0 C    
HPLG        11.0 C    
ELMV6        4.2 C    
JBTQ        24.0 C    
JBZR         1.0 BU   
3FNU5        1.0 C    
H8EL        13.2 C    
ELNM3       10.0 C    
A8AK7       10.7 C    
ELXW6        9.2 C    
HOMF        14.0 C    
3EES2       14.0 C    
JFFP         6.4 C    
3FLX7        7.3 C    
H3PX         6.0 C    
3FMI8        3.0 C    
3FMT4       18.0 C    
3FVC8        5.0 C    
VRAB7       15.0 C    
3FAX4       13.0 C    
3FTO9        3.0 C    
3FZH9        6.5 C    
VRAF3        2.2 C    
3FAT9       17.0 C    
3FVY9        5.8 C    
3EDQ6        6.0 C    
JNCJ         7.9 C    
JDSS         5.5 C    
JKYS         5.0 C    
3FMV4       16.0 C    
JBML         8.1 C    
3EUE7        3.8 C    
JKLS        11.0 C    
HOXM         9.6 C    
YJYN8        9.0 C    
DUJV        11.0 C    
JGPU        12.0 C    
JIVN         3.0 C    
3EJO6        8.6 C    
HOLC         8.0 BTT  
9VCM8        4.0 C    
H8IA         8.0 C    
JMVS         9.5 C    
9VGD6        6.8 C    
HPWG        14.0 C    
HPBG         7.8 C    
3FDB7       10.0 C    
H9LW        12.0 C    
HOAC        16.5 C    
3ECP2       18.0 C    
JPPT         7.5 C    
3EFH4       11.0 C    
JIJQ         3.0 BTT  
JLVC         4.0 C    
H9CF        17.0 C    
3FWI3        7.5 C    
JMMU         1.0 BU   
JRPG         6.0 C    
JNZL         1.0 BU   
7JLH         8.8 C    
C6VH2       20.0 C    
JEDY         1.0 BU   
3FRY5       17.0 C    
3EEG8        8.2 C    
3EBU4       18.0 C    
3FUS5       14.0 C    
JPHI         4.0 C    
JPBN         4.6 C    
JMER        16.0 C    
JKPP         6.0 C    
S6EO8        4.7 C    
3ECY3       20.5 C    
H9PM         8.0 C    
JEPJ        14.9 C    
JNKT        26.3 C    
S6NI        11.0 C    
JDWX         2.2 C    
JFRO         4.0 C    
H3NE        17.8 C    
7JSV        11.5 C    
3FWG9        9.0 C    
JHPO        13.7 C    
H3UO        12.7 C    
3EHO5       10.3 C    
ELZD5       20.0 C    
7KXF        13.9 C    
3EWJ7       12.3 C    
HPIL         6.0 C    
3EBE9        8.0 C    
3FPH8        5.0 C    
9VKU8       10.7 C    
HOJZ         3.7 C    
3F228       33.4 C    
3FDL4        7.0 C    
H3VP         7.7 C    
H9LV        14.0 C    
C6VO5       11.4 C    
JPBY         4.8 C    
JPHB        11.3 C    
JGES         7.0 C    
3EBC         8.5 C    
JKES        10.0 C    
H9HO         4.0 C    
H9AT         4.0 C    
3FWL4        9.9 C    
ELPQ9        6.0 C    
3EAX2        9.6 C    
3ERW2        4.0 C    
JNSR         4.5 C    
ELXJ7       11.4 C    
H9DG         7.5 C    
3FVR9        7.5 C    
3EEU8        5.0 C    
HOZY        10.0 C    
JNYB        26.0 C    
HPEF        13.0 C    
HPJW         9.3 C    
HPPW        13.0 C    
3EMH9       10.0 C    
3ELL6        4.0 C    
HPPL         8.0 C    
8JGU         6.0 C    
JHIA        15.0 C    
JFKD         0.7 C    
H9DA         9.7 C    
3FCE4        4.0 C    
H3MC        12.0 C    
8KYO         1.0 BU   
3FXI5       19.0 C    
7JAT        14.8 C    
HPOG         7.0 C    
VRZR8        9.0 C    
H9LA        26.0 C    
H9PJ         4.0 C    
3ELP9        6.3 C    
H3MB        21.0 C    
JMYF        29.0 C    
JBGY        14.4 C    
3FIG5       10.3 C    
H9TG        21.1 C    
3FVX9        5.3 C    
JFMC         1.0 C    
ELJC8       12.0 C    
JFYD        11.0 C    
JMLQ         5.9 C    
3FLX5       12.6 C    
3FGI6       14.0 C    
JNDU        14.0 C    
HOIF        10.0 C    
HOQG        14.5 C    
HPBS        14.5 C    
3EEB6       26.0 C    
3EJV7       13.9 C    
3FBR8       12.0 C    
HOQM        10.0 C    
HPPZ        11.8 C    
HPZA        34.1 C    
H8TS        12.5 C    
3FBP8        7.5 C    
H9PS         5.0 C    
H9JW        14.5 C    
HOFL        10.0 C    
HPEU        13.0 C    
HPLO        12.0 C    
3FZE4        8.5 C    
HOCZ        10.0 C    
3FUX6        8.5 C    
JNIQ         9.0 C    
S6HM6       10.7 C    
JFCX        14.5 C    
3FUM7       22.8 C    
H3IE         6.0 C    
9VIP7        8.0 C    
ELKI8        5.0 C    
3F027       17.8 C    
3FHS6       19.0 C    
ELMP3        5.5 C    
JMID         2.0 C    
H3XF        26.0 C    
H3AA        14.3 C    
HPOB        10.0 C    
S6HC9        4.7 C    
S6HL        11.6 C    
H9MQ        20.8 C    
JJWR         4.0 C    
JCMO         2.0 C    
3FCM8       12.0 C    
C6VG5       41.3 C    
H3AK         6.0 C    
C6TC2        5.3 C    
JPEI        20.0 C    
3FAQ9        7.5 C    
JBEL         6.3 C    
3FMA4        5.0 C    
H3VD        10.0 C    
3FYF5        7.8 C    
H9NY         2.5 C    
3EYF9       28.0 C    
3FUD7        8.0 C    
3FUR7        9.1 C    
3EWP7        9.0 C    
3EAS6       10.0 C    
VRZY4       14.2 C    
3ERU8        6.0 C    
9VHB6        9.3 C    
H9TA         8.0 C    
3FSR9       12.9 C    
3FIQ7        6.5 C    
3FSP5        4.7 C    
3FXB5       10.0 C    
3ECE7        7.0 C    
H8JD         8.2 C    
3FAH7       17.0 C    
3FZM6       10.0 C    
3FFT7       12.0 C    
JGQH         4.5 C    
3EAS9       24.8 C    
H9AV        12.0 C    
3FLR5        5.0 C    
JNZJ        10.0 C    
9VBW2        6.1 C    
3FJV4        5.5 C    
HOMI        12.9 C    
C6LR2       13.5 C    
3EXS4        6.0 C    
3FGR4       13.9 C    
JIVB         2.3 C    
JLLY         4.0 C    
JMFG         1.0 C    
3FNW8        6.2 C    
JCIR        10.0 C    
H9RB         9.0 C    
3FOZ7       13.8 C    
3ECE2        6.0 C    
HODB        15.9 C    
JPQG        10.0 C    
HPJN        19.5 C    
3FXV9       10.9 C    
JPPE        14.5 C    
JFCL         1.0 BU   
JCGJ        12.5 C    
H3BL        30.9 C    
3FPX8        9.2 C    
JLOJ         5.3 OT   
HOAY         7.9 C    
S6NW5        9.3 C    
3FBR3        8.5 C    
H9RE        18.0 C    
ELJS7        6.0 C    
JBLV         7.0 C    
9HXT8        6.0 C    
H3WO         8.6 C    
HPMT         2.0 C    
HOSV         8.5 C    
3EDW7        8.0 C    
3FUD4       17.4 C    
3FCK9        1.0 BU   
9MET9        4.0 C    
HODM        11.5 C    
3EGA2       11.0 C    
9VOE        14.3 C    
3FQA7        8.5 C    
HODH         5.6 C    
H8CD         9.0 C    
H3PY         9.0 C    
H3FO        29.5 C    
H3EV        29.5 C    
C6NT7        5.6 C    
JFSA         4.7 C    
H9RS        11.0 C    
H3LN        14.4 C    
H8UX        17.0 C    
3FMP6        8.8 C    
3EZF5        7.5 C    
JLPY         1.0 C    
HOMQ        17.0 C    
3FNU6       15.2 C    
3FXA8       11.4 C    
H8HC        20.8 C    
JNAU        27.1 C    
3EEB        16.0 C    
H3ID         6.0 C    
JHJH        14.5 C    
JIQY         2.0 C    
HOZR         9.2 C    
HOCD        16.0 C    
HOBS        10.4 C    
9VHB4       11.1 C    
ELWW7       19.0 C    
ELXS7       18.0 C    
JIFH         1.0 BU   
3FYG9       27.6 C    
JMVY         8.0 C    
VRZM7        9.0 C    
3EDE7        6.0 C    
H9DW        15.0 C    
JH3304       2.0 C    
9VCV        13.0 C    
3ECC9        5.0 C    
JNXU        13.6 C    
JPPO        18.0 C    
3EEZ7        0.4 C    
3ECB7       18.0 C    
9VMI6        9.0 C    
3FGB8        6.5 C    
3EJQ9        2.0 C    
3FLC8        7.8 C    
H3OX        16.5 C    
HPGH        20.5 C    
HOMT        18.0 C    
JPAT         5.6 C    
HPYT         8.4 C    
HOUU        13.5 C    
5MZP         8.7 C    
5MLN         8.0 C    
HOKN        11.5 C    
3FED8       10.5 C    
3ECG9        8.0 C    
HOKP        12.5 C    
5MMA         8.5 C    
JFIW        10.0 C    
H8DY         8.1 C    
JKHH         3.5 C    
3FRB5       10.1 C    
JPAZ        10.0 C    
3EDR9       12.0 C    
JCOY         4.5 C    
H3IJ         9.0 C    
JMUT         9.8 C    
HMAC         1.0 BU   
HMYC         1.0 BU   
HMBA3        1.0 BU   
HMBA4        1.0 BU   
HMBA2        1.0 BU   
HMZW         1.0 BU   
HMZJ         1.0 BU   
3FJU5       13.0 HC   
DSEP4        9.7 C    
DSNC5        8.9 C    
DSEM3       14.0 C    
DSEM8       10.1 C    
3FDY6       11.1 C    
3FFT6        8.0 C    
3FKM8       17.4 C    
3FKY6       13.1 OT   
3FXE9        8.0 C    
3FRA4        6.7 TT   
YLKZ         1.0 BU   
PCAM         6.0 C    
PCCL         6.0 C    
PCDE         6.0 C    
PJHB         4.0 C    
PCIG         6.0 C    
PCKU         6.0 C    
PCPR         6.0 C    
PCGQ         6.0 C    
PCQL         6.0 C    
PJJI         4.0 C    
PCSV         6.0 C    
PCTG         6.0 C    
PHHD         9.0 C    
PCUI         6.0 HC   
PJJH         5.0 C    
C6KE3        4.0 C    
PCVX         6.0 C    
PFPT         1.0 BU   
PCZM         5.0 C    
PENR         4.0 C    
LADY5        5.0 C    
LATO2        7.0 C    
A8JH8        7.0 C    
PDAY         1.0 BU   
PJRH         7.0 C    
A8IP4        1.0 BU   
PDKK         6.0 C    
PCFW         1.0 BU   
PHKM         1.0 BU   
PHGF         1.0 BU   
PDIB         6.0 C    
PDMK         1.0 BU   
PDKU         6.0 C    
ELWC5        6.0 C    
ELXG9        6.0 C    
PCFT         6.0 C    
PCFM         6.0 C    
PDNN         1.0 BU   
PBBT         1.0 BU   
PBBV         1.0 BU   
PCHS         4.0 C    
PCIP         4.0 C    
PDTS         4.0 C    
PDTM         5.0 C    
PDTT         4.0 C    
PDTQ         3.0 C    
PDTP         3.0 C    
PDTV         3.0 C    
PDTO         5.0 C    
A8JH7        7.0 C    
PDUJ         6.0 C    
PDXQ         6.0 C    
PDVN         1.0 BU   
PDWT         6.0 C    
PDWG         6.0 C    
PDYI         6.0 C    
A8IO2        3.0 C    
A8IP2        3.0 C    
A8IP3        6.0 C    
PDYX         6.0 C    
PDYV         6.0 C    
A8IN8        6.0 C    
PDZR         6.0 C    
PDZS         1.0 BU   
PBFW         6.0 C    
PJHF         1.0 BU   
PEBP         4.0 C    
PHEC         5.0 C    
A8JI2        4.0 C    
PEBT         1.0 BU   
C6VY9        1.0 BU   
C6VY5        5.0 C    
C6VY3        5.0 C    
C6VX8        5.0 C    
C6VY2        5.0 C    
C6VY4        3.0 C    
PCER         8.0 C    
PCAW         8.0 C    
PCBZ         8.0 C    
A8JH9        5.0 C    
PESF         1.0 BU   
PCBU         1.0 BU   
PECF         1.0 BU   
PCEX         1.0 BU   
PFBF         1.0 BU   
PFEI         8.0 C    
PFAS         1.0 BU   
LAOO5        1.0 BU   
PFSK         9.0 C    
OWFD2        7.0 C    
PJOJ         5.0 C    
PHED         4.0 C    
PHEG         5.0 C    
PJUO         1.0 BU   
PFNG         1.0 BU   
PFOH         7.0 C    
OWAY2       11.0 C    
A8IO3        5.0 C    
PCBI         6.0 C    
PFPQ         1.0 BU   
A8IO4        8.0 C    
PDHP         6.0 C    
PFDH         9.0 C    
PDHO         6.0 C    
PBAS        14.0 C    
PDHY         6.0 C    
PDHU         6.0 C    
PBCK         8.0 C    
PCHI         8.0 C    
PECS         8.0 C    
PBAG         8.0 C    
PJVZ         6.0 C    
PGCU         9.0 HC   
PGCY         9.0 HC   
PGDE         9.0 HC   
PCIM         8.0 C    
PGEA         8.0 C    
PJJL         4.0 C    
9HIH5        5.0 C    
PDAH         6.0 C    
C61Z7        4.0 C    
PJHA         2.0 C    
PGQI         5.0 C    
PGRQ         4.0 C    
A8IO6        1.0 C    
PEDS         1.0 BU   
PDGS         1.0 C    
PBFY         7.0 C    
A8IP5        3.0 C    
A8IN7        3.0 C    
PFAQ         6.0 C    
PCGR         6.0 C    
PCGM         6.0 C    
PDBP         6.0 C    
PFBE         6.0 C    
PHHB         1.0 BU   
PCHF         6.0 C    
PDBO         6.0 C    
PCEO         6.0 C    
PCBT         7.0 C    
PBFM         8.0 C    
PJFF         5.0 C    
PHQX         8.0 C    
PBBB         6.0 C    
PECA         1.0 BU   
PDBY         6.0 C    
PHAQ         8.0 C    
PHHQ         5.0 C    
PHEA         1.0 BU   
PHBT         6.0 C    
PJPO         1.0 BU   
PHFL         8.0 C    
PHAC         1.0 BU   
PHAA         1.0 BU   
PHAL         1.0 BU   
PHAM         1.0 BU   
PBVO         1.0 BU   
PFQE         1.0 BU   
8MJO         1.0 BU   
DSSZ         1.0 BU   
DZRK         1.0 BU   
YJZE4       12.0 C    
ELUL7        9.0 C    
P3JZ7        9.0 C    
SNGH         2.0 HT   
A8DS7        9.0 C    
9HXW5        7.0 C    
9HXZ4        6.0 C    
P3GA7        8.0 C    
SQLZ         5.0 C    
P3TC6        9.0 C    
P3VA7        9.0 C    
P3PY7        9.0 C    
P3AS7        9.0 C    
9HZU6        9.0 C    
SPGN         3.0 C    
9HZV6        9.0 C    
P3SA8        9.0 C    
P3PA8        9.0 C    
P3HF8        9.0 C    
P3LA8        9.0 C    
P3JE8        9.0 C    
P3LG7        7.0 C    
9HCA7        6.0 C    
9HCF7        6.0 C    
9HBZ7        6.0 C    
C6TX7        8.0 C    
YJZJ5       12.0 C    
9HEB7        9.0 C    
9HEA7        9.0 C    
C6TX8        8.0 C    
9HLM6        8.0 C    
C6LK8        6.0 C    
SQOC         1.0 BU   
C6LD8        6.0 C    
A8DS8        9.0 C    
9HIQ6        6.0 C    
YJZH8       12.0 C    
C6TX9        8.0 C    
P3NG7        8.0 C    
YJZJ9       12.0 C    
A8DS9        8.0 C    
9HXS6        9.0 C    
9HDZ7        9.0 C    
9HAJ7        9.0 C    
YJZC9       12.0 C    
9HZT6        9.0 C    
YJZG3       12.0 C    
9HMH8        7.0 C    
P3EW4        7.0 C    
9HXP4        6.0 C    
9HYV6        9.0 C    
C6TY2        8.0 C    
C6LK2        6.0 C    
YJZL7        6.0 C    
9HHN5        6.0 C    
9HHJ5        6.0 C    
A8DT2        8.0 C    
A8DT3        8.0 C    
A8DQ7        8.0 C    
A8DT5        8.0 C    
A8DT6        8.0 C    
UFJC         3.0 C    
UISD         8.0 C    
UGSN        11.0 C    
UEFE         6.0 C    
UBAW         6.0 C    
UDUR         6.0 C    
UCAC         9.0 C    
UJGN         4.0 C    
UBYK         5.0 C    
UAJS         5.0 C    
UBWR         5.0 C    
UETM         5.0 C    
UFPD         5.0 C    
UAIR         5.0 C    
UBNF         1.0 BU   
UBXS         6.0 C    
UBAU         6.0 C    
USAE         9.0 C    
USAD         9.0 C    
UFAA         6.0 C    
UIFV         9.0 C    
UINM         9.0 C    
P3NF5        9.0 C    
UBXD         9.0 C    
UCKH         5.0 C    
P3NJ5       10.0 C    
UAST         4.0 C    
UHCE         5.0 C    
UCUF         6.0 C    
V3ZK2        9.0 C    
UBXG         9.0 C    
UXWM         7.0 C    
UHWZ         7.0 C    
UHWL         7.0 C    
UHRL         7.0 C    
UHRT         9.0 C    
UCJC         9.0 C    
UAMX         6.0 C    
UITR         8.0 C    
UDUE         9.0 C    
UCKU         9.0 C    
UANA         5.0 C    
UIFL         6.0 C    
UHJC         6.0 C    
UKKI         4.0 C    
V3WD6        9.0 C    
UGSL         5.0 C    
UIBM         7.0 C    
V3YR2        7.0 C    
UIFC         9.0 C    
UCNJ         7.0 C    
UITP         5.0 C    
UGTY         5.0 C    
UCKT         7.0 C    
UCJM         9.0 C    
UEWY        10.0 C    
UFNP         4.0 HC   
UBSO         7.0 C    
UCMR         7.0 C    
UCJL         7.0 C    
UCUQ         4.0 C    
UCJI        10.0 C    
UGOS         6.0 C    
P3NC5        7.0 C    
UCUE         6.0 C    
UFEQ         7.0 C    
UIAO        10.0 C    
UHCK         9.0 C    
UFML         3.0 C    
UABH         7.0 C    
UGSE         8.0 C    
UCCW         3.0 C    
UHCU         6.0 C    
UAVO         7.0 C    
UFLT         6.0 C    
P3NH5        7.0 C    
UHRS         6.0 C    
UIFU         9.0 C    
UCNT         9.0 C    
P3NB5        7.0 C    
UFMK         6.0 C    
UIJG         6.0 C    
UCKD         7.0 C    
UCSS         9.0 C    
UBLH         6.0 C    
P3NE5        7.0 C    
P3ND5        7.0 C    
UELS         6.0 C    
UHVV        10.0 C    
UHIB        10.0 C    
UITF        10.0 C    
UEYO         9.0 C    
UHVL         9.0 C    
UDVH         7.0 C    
UCTQ         6.0 C    
UHJD         8.0 C    
UACU         5.0 C    
UIFY         8.0 C    
UDWE         8.0 C    
UCCZ         2.0 C    
UCJB         7.0 C    
UGMC         2.0 C    
V3ZD9        9.0 C    
UCUC         6.0 C    
UFLC         4.0 C    
UHVW         7.0 C    
UDYN         6.0 C    
UCOO         5.0 C    
UCOY         5.0 C    
UCOP         5.0 C    
UFHZ         5.0 C    
UCOR         5.0 C    
UCBM         5.0 C    
UCOZ         5.0 C    
UFHG         5.0 C    
UCOQ         5.0 C    
UCMQ         7.0 C    
UCAB         7.0 C    
UCCR         2.0 C    
UCLD         7.0 C    
UCKA         7.0 C    
UASX         4.0 C    
UEFZ         4.0 C    
P3NL5       10.0 C    
V3ZB2        7.0 C    
UGUU         7.0 C    
UASP         5.0 C    
UERH         5.0 C    
UIAH         4.0 C    
P3NK5       10.0 C    
UIAC         4.0 C    
UDUK         6.0 C    
UICO         4.0 C    
UHJS         1.0 BU   
UINF         6.0 C    
UIDS         4.0 HC   
UIWN         4.0 C    
UFYW         7.0 C    
UFXA         7.0 C    
UIHY         3.0 C    
UHFW         3.0 C    
UHJQ         1.0 BU   
UCPD         8.0 C    
UCTS         6.0 C    
UCKG         7.0 C    
UANF         6.0 C    
UGNQ         4.0 C    
UCDP         2.0 C    
UCUO         4.0 C    
UIUR         9.0 C    
UITJ         7.0 C    
UDHP         5.0 C    
UIJP         7.0 C    
UHLA         8.0 C    
UCBN         7.0 C    
UEIS         7.0 C    
UCOK         7.0 C    
UIDO         3.0 C    
UFZQ         8.0 C    
UDOD         3.0 C    
UCPE         7.0 C    
UCON         7.0 C    
UGTV         3.0 C    
UCDM         3.0 C    
UHCO         7.0 C    
UHVF         7.0 C    
UCPG         7.0 C    
UCDN         3.0 C    
UIEO         3.0 C    
UGWB         7.0 C    
UHJP         1.0 BU   
UHJR         1.0 BU   
UIAG         4.0 HC   
UWJE         6.0 C    
UFPP         4.0 C    
UTTW         4.0 C    
UBNR         1.0 BU   
UTTM         6.0 C    
UYWE         6.0 C    
UAKA         4.0 HC   
UAIS         4.0 C    
UYTA         4.0 C    
UASU         4.0 C    
UBHT         6.0 C    
UFLS         7.0 C    
UAVT         6.0 C    
UDTC         6.0 C    
UCDL         4.0 C    
UICN         4.0 C    
UERK         4.0 C    
UCEE         4.0 C    
V3WY2        7.0 C    
V3XA2        7.0 C    
V3YG5        7.0 C    
V3WY25       7.0 C    
UFBN         6.0 HC   
UDDE         7.0 C    
UGSH         6.0 C    
UFJJ         4.0 C    
UBHR         6.0 C    
UDDD         7.0 C    
UASQ         6.0 C    
UHQP         7.0 HC   
UBSN         7.0 C    
P3NG5        7.0 C    
UYVO         4.0 HC   
UAVN         7.0 C    
UEXF         7.0 C    
UDBL         1.0 C    
UEAK         1.0 BU   
UGSI         9.0 C    
UGWJ         9.0 C    
UCUD         6.0 C    
UCMP         7.0 C    
UBDU         6.0 C    
UAVH         6.0 C    
UCJX         9.0 C    
UCNK         9.0 C    
UCMV         9.0 C    
UDBK         1.0 C    
UQGP         4.0 C    
UFBY         7.0 C    
UCJR        10.0 C    
UCJO         7.0 C    
UCCQ         4.0 C    
UCCH         3.0 C    
UDYG         6.0 C    
UAVU         6.0 C    
HZUR         1.0 BU   
9KGT         1.0 BU   
HZXN         1.0 C    
HZTE         1.0 C    
HZNN         1.0 C    
HZXH         1.0 C    
AGJN         1.0 C    
9KKQ         1.0 C    
HZZA         1.0 BU   
HZBP         1.0 C    
HZWJ         1.0 C    
HZTK         1.0 C    
HZXT         1.0 C    
9KHF         1.0 C    
A7EJ         1.0 C    
HZLJ         1.0 C    
HZXR         1.0 C    
HZXS         1.0 C    
HZKA         1.0 C    
HZLA         1.0 C    
HZSG         1.0 C    
J4IJ         1.0 C    
C6CR         1.0 C    
HZIX         1.0 C    
4PKY         1.0 C    
3FJY         1.0 C    
STDA         1.0 C    
SUOJ         1.0 C    
HZVA         1.0 C    
HZYQ         1.0 C    
A7EL         1.0 C    
HZVT         1.0 C    
HZIM         1.0 C    
HZUN         1.0 C    
HOCY         1.0 C    
9KHG         1.0 C    
H2PU         1.0 C    
H3RA         1.0 C    
A7EH         1.0 C    
A7ED         1.0 C    
HZLD         1.0 C    
A7EG         1.0 C    
HZLE         1.0 C    
9KEQ         1.0 C    
A7EE         1.0 C    
9KFJ         1.0 C    
9KED         1.0 C    
9KFQ         1.0 C    
HZDK         1.0 BU   
9KFP         1.0 C    
HZLC         1.0 C    
9KDX         1.0 C    
HZLI         1.0 C    
A6JJ         1.0 C    
7JNB         1.0 C    
HZWE         1.0 C    
HZTU         1.0 C    
AQNY         1.0 C    
H9VV         1.0 C    
HZUZ         1.0 C    
VWRB         1.0 C    
AQOJ         1.0 C    
8QJN         1.0 C    
HZWM         1.0 C    
HZWQ         1.0 C    
HZVZ         1.0 C    
HZJX         1.0 C    
AQMK         1.0 C    
HZMC         1.0 C    
ELM2         1.0 C    
H2KB         1.0 C    
HZSH         1.0 C    
HZUY         1.0 C    
HZRX         1.0 C    
HZVR         1.0 C    
HZIO         1.0 C    
HZZB         1.0 C    
HZIE         1.0 C    
HZPF         1.0 C    
HZZC         1.0 C    
HZOQ         1.0 BU   
HZWI         1.0 C    
HZOP         1.0 C    
HZSW         1.0 BU   
HZIS         1.0 C    
HZZD         1.0 C    
HZUJ         1.0 C    
ZFFW         1.0 C    
HZNO         1.0 C    
HZUV         1.0 C    
HZLK         1.0 C    
JWTA         1.0 C    
DHMA         1.0 BU   
HZVS         1.0 C    
9VUU         1.0 BU   
S6HO         1.0 BU   
9VMY         1.0 BU   
9VDL         1.0 BU   
9VDM         1.0 BU   
9WQS         1.0 BU   
9VYI         1.0 BU   
9VPQ         1.0 BU   
9VGE         1.0 BU   
9VMR         1.0 BU   
S6GZ         1.0 BU   
9VNW         1.0 BU   
9VYT         1.0 BU   
9VOQ         1.0 BU   
9VNT         1.0 BU   
9VNS         1.0 BU   
9VNQ         1.0 BU   
9VAQ         1.0 BU   
SGGY         1.0 BU   
9VPA         1.0 BU   
S6EJ         1.0 BU   
S6FY         1.0 BU   
9VYG         1.0 BU   
9VYF         1.0 BU   
HSAZ         1.0 BU   
HSAT         1.0 BU   
WMVF         1.0 BU   
WDB3161      9.0 C    
S6TS         9.0 C    
9VAY4        3.0 C    
WCX8883      9.0 C    
WCX8884      9.0 C    
WCX8882      9.0 C    
WCY2843      1.0 BU   
KKFW         1.0 BU   
WCE5063      1.0 BU   
NMAG         1.0 BU   
WCY2572      1.0 BU   
WFLG         4.7 C    
WCJ6214      1.0 BU   
D5BC         1.0 BU   
WRYW         3.0 C    
WRYC         3.0 C    
WRYD         3.0 C    
WNDP         3.0 C    
WUW2120      1.0 BU   
KRHX         1.0 BU   
WCZ9474      1.0 BU   
V7DK4        1.0 BU   
WZ3423       1.0 BU   
WDB4655      1.0 BU   
ZSJE         1.0 BU   
HP3448       1.0 BU   
ZSJN         1.0 BU   
ZSFP         1.0 BU   
ZR2531       1.0 BU   
